EventId,Time,CallId,MobileTerminalId,Service
89d48f30-310f-43be-b447-75d07165bed1,09/16/2019 23:23:22,4372a402-4bcc-49fe-916f-521fac9254eb,47b7969d-ce8f-498a-8f8c-e43e4235a0f3,Voice
c7295190-6f0b-40f5-9983-beef92d15f51,09/16/2019 23:23:24,fb6acdab-0a05-4fe4-96bb-e281e5f81d0c,47b7969d-ce8f-498a-8f8c-e43e4235a0f3,Data
77fd99ba-9717-4f73-81f3-365a3755e8b5,09/17/2019 01:23:22,fca9d257-7dc9-4267-b692-d0d510f54126,7e36e17a-ba6c-45ec-b0af-11d2c016cf00,Data
9908e230-9420-4671-b153-177cd4ae8f1c,09/17/2019 01:23:22,8f342527-54ac-450a-af83-3c913c8a2c4d,727219b7-d40f-4fb4-9d26-57c94acb7266,Voice
1d9282b5-4ca6-47e6-a209-5a6d2aebeb0b,09/17/2019 01:23:24,02cc48c8-2315-4256-8523-7e1a5baf5ee7,47b7969d-ce8f-498a-8f8c-e43e4235a0f3,Video
8df5e6f8-ad0d-4537-a43a-e8518fd88372,09/17/2019 01:23:26,b31718d8-5769-4f4d-9d05-60d33a7c2294,53056465-b04a-4000-8c41-1ffe7012e09b,Data
29c369e8-0af9-4c82-8b73-67301393967c,09/17/2019 01:23:29,6fdf2a77-1683-46f6-b448-8ecd280d64cf,47b7969d-ce8f-498a-8f8c-e43e4235a0f3,Data
c1d1d15b-50c1-406a-ac2f-b11a69923b2f,09/17/2019 01:23:30,f84ee48c-dbf0-499f-bca0-6a9f1bcf4cfb,f82554c4-e90d-4acd-b20d-2eb45aa1bcb8,Voice
5c7de7d2-7d0e-4e94-badc-0f1802ea233f,09/17/2019 01:23:31,f87ff4f3-fe88-4ca3-8e0e-bd68730e2f32,f82554c4-e90d-4acd-b20d-2eb45aa1bcb8,Video
bc91e4d5-0e71-4726-8f14-230f15d03f65,09/17/2019 01:23:31,feb839b1-4060-4462-a5bd-4a797448a6f3,b25aa79a-c0f9-4282-b4f6-a85cfd632248,Voice
