EventId,CallId,MobileTerminalId,Time
ab8ce729-2eea-4266-b349-fa5590b5c5d4,3814a49f-56af-45b2-87db-13598997213c,2b98be9c-ddd8-44d8-a7ce-6e0f23b0d4f1,16/09/2019 22:38:06
ff112905-6c12-48fd-a888-ede5a2d54b16,5dd3aaaa-dcad-4a79-9e20-4c6c937e56ac,f750b4a6-596a-4230-a9f3-a546d3fdc6d1,17/09/2019 00:01:13
c82291f8-7785-4bf6-a810-c19fc5b3d6d4,4db63e52-b8bf-478a-b65d-3cb369ec51e1,dcc6149b-d4af-4f15-ab2e-c4e54ba01a3c,17/09/2019 00:36:00
da09de85-9f8f-4386-95bf-2b15a529957b,b2e129ca-d354-4b13-9103-0654fe27418b,037b39e3-3a38-4b9f-99ab-6b5d49b3ed4e,17/09/2019 00:55:10
70d5f303-5ba8-4f54-9693-9875908b605c,90cda823-2d7d-4101-815a-89c184ec4d84,1b72d990-f55a-4c5d-a3b9-b19f242370fb,17/09/2019 01:24:26
7a04871d-6f34-4ad2-9afd-61eb873d54ec,c453ca91-e447-4715-849f-9abba04083d0,037b39e3-3a38-4b9f-99ab-6b5d49b3ed4e,17/09/2019 02:06:37
e7ddabe3-be59-4c8c-b04d-346124505ff6,968d2208-6e0c-44de-9492-f731e80788aa,dcc6149b-d4af-4f15-ab2e-c4e54ba01a3c,17/09/2019 02:08:51
fb86f992-c74e-46d3-b62c-417aec9bc9c6,bc1ade7e-cf32-44dd-aba0-fcc95c987901,58947e0c-7e01-49c2-8a20-6ede35d906b1,17/09/2019 02:14:41
a7e0c7f1-af28-4a82-89ed-f167f88e2121,157e0b46-fce9-495a-8dac-718479317054,def87402-dc83-469b-b5da-de8771f291d3,17/09/2019 02:32:01
169a906c-6780-4f86-9bd4-59d265ede75a,85fefe11-56ae-438f-9ac6-f3f3df2b1aa5,38bcbce4-e290-489c-b747-5bbb8383a8c7,17/09/2019 02:40:22
50ddb460-f9d4-46b3-aab0-3d5a4882fc6a,e953bd54-8db9-4c98-b1f2-00a4e32cbc8e,80e2abe6-0b4e-4473-bb9e-2ef571e421a6,17/09/2019 02:47:47
0b35b4c0-8124-4c49-ab59-d9220c6db63b,7e5a5d57-4f34-4c6c-8554-359eec884818,8b24a91d-6406-4753-a1c5-91e356853126,17/09/2019 03:03:56
4c03a4f6-1da7-47f0-85b8-d35176e87826,3e33c7d9-90f2-4e92-84eb-7c0ab056666b,def87402-dc83-469b-b5da-de8771f291d3,17/09/2019 03:05:55
671f3538-b414-4509-b928-5e468ba4af79,041045de-0e66-4079-bfab-0751d5a28470,9e5d2ada-aa4e-4771-a15c-716aa067a623,17/09/2019 03:15:09
904d5971-ef2b-43b7-861b-74a972dc797d,ac28437e-f497-44d1-9dfe-90d6f80d94bc,42a35e16-6322-4bd3-a330-b7a057c55a1f,17/09/2019 03:20:50
a9086da7-c4d6-4f1f-ad54-dd5ea9327d20,ff87ec38-df82-4dab-a82c-e6d3915dc3c9,db3ed863-62f3-46c7-ac4a-3a10aa613a14,17/09/2019 03:28:07
2d6c5da5-e8f5-48ba-a0d9-4e7249644017,8ce5f363-2c29-4882-bd60-8450c0a9e657,db3ed863-62f3-46c7-ac4a-3a10aa613a14,17/09/2019 03:29:29
ebb837c4-32ca-44bc-bd31-f3ad505ae116,86dc405c-72a7-4001-9fce-2e396c3d5c74,037b39e3-3a38-4b9f-99ab-6b5d49b3ed4e,17/09/2019 03:38:24
61039515-efa2-49e4-b0ae-939151fb4638,7b97c987-b84c-49ec-b21a-a83321515828,def87402-dc83-469b-b5da-de8771f291d3,17/09/2019 03:42:42
971f28dd-20cb-4b6b-9494-3bfa3b8853ee,c4530c41-6d5b-4aef-a568-2206b5f3a818,7e83d47a-c9f2-4b15-858b-b268188523d0,17/09/2019 03:57:44
0b571e08-df12-46ad-a8c7-5c20961a3e2d,9d8c7023-2837-4215-8aee-0705a4efa4fe,22dce81a-00b0-4bdb-b1ca-6f314a832506,17/09/2019 04:05:50
800adb98-2fb1-4133-ae9d-dde222a11ba5,63b789e3-4453-404e-acc9-95aa518763fb,1f67171a-61f1-489d-b4c2-3f10963a9e4b,17/09/2019 04:08:30
799db6d3-4203-4af5-9b84-01fbbc3ac909,b72256fa-35d3-4f9b-8875-afefe4bd207e,9e5d2ada-aa4e-4771-a15c-716aa067a623,17/09/2019 04:09:38
74e9f4a2-14a3-487f-97b2-6261e1c88aeb,f4ce5c49-224a-4197-8d65-fbb9c0869de5,f750b4a6-596a-4230-a9f3-a546d3fdc6d1,17/09/2019 04:11:00
5d45df06-66d8-4d33-a7ae-941e83a0bbf3,51bfa2c7-7f42-493f-8e22-3defec821abe,f750b4a6-596a-4230-a9f3-a546d3fdc6d1,17/09/2019 04:15:07
b4ee603b-e491-4679-8cbe-1ec0de6a8035,605cee65-3488-442c-903a-53041b9c8167,38bcbce4-e290-489c-b747-5bbb8383a8c7,17/09/2019 04:20:20
029f1c58-7e9e-49af-ad75-6fd7264be64b,be8578a2-8267-4e45-806a-df38b56e7049,8b24a91d-6406-4753-a1c5-91e356853126,17/09/2019 04:20:20
777809bd-6604-491b-8529-78749fef86e5,25031cfd-2441-48fe-861f-4b097df97142,38bcbce4-e290-489c-b747-5bbb8383a8c7,17/09/2019 04:23:39
4c3c0af6-9d3f-4a67-90a1-97a11dc5a5fa,1de8ee61-ac90-47e8-ae50-ece484599f98,5748889b-93e4-48bb-9505-8b7fd113159e,17/09/2019 04:32:13
e1214b72-77ba-4554-9e9b-3f1dee60a314,8f001304-5460-43c9-b3e8-e8592cab84aa,42a35e16-6322-4bd3-a330-b7a057c55a1f,17/09/2019 04:35:18
b5fed1fe-719d-465e-b2cd-efa11084c9e4,00d6159d-592f-44e0-a2fa-cc45d90adc2d,9e5d2ada-aa4e-4771-a15c-716aa067a623,17/09/2019 04:38:02
c4c388e7-907c-495b-b486-c329ef4d2b0b,7c28dc2f-1aec-4e4e-bf8b-db002c6cfc3d,8b24a91d-6406-4753-a1c5-91e356853126,17/09/2019 04:42:12
672467e7-a3d2-4566-be44-3b920bf28dfe,125de7df-cbd1-4797-bf83-6dd5f4f174f6,def87402-dc83-469b-b5da-de8771f291d3,17/09/2019 04:47:55
0a162c23-d5a3-439c-99a6-123fd3f75bf0,51f37704-de75-4cb3-ba85-03417d3084b5,7e83d47a-c9f2-4b15-858b-b268188523d0,17/09/2019 04:48:11
65ff0241-b980-4d15-bfbb-4f77305484d1,1c620b13-39cd-4b98-803b-b5f25a94a163,7e83d47a-c9f2-4b15-858b-b268188523d0,17/09/2019 05:11:06
